restaurant,item,cal_fat,total_fat,sat_fat,trans_fat,cholesterol,total_carb,fiber,sugar,vit_a,vit_c
Mcdonalds,Crispy Garlic White Cheddar Chicken Sandwich,300,34,9,0,85,67,5,11,10,15
Taco Bell,Original Triple Double Crunchwrap,270,30,9,0.5,45,85,9,7,15,6
Mcdonalds,Sweet BBQ Bacon 1/4 lb Burger,340,37,14,1.5,110,51,3,14,6,15
Burger King,Chicken BLT Salad w/ Crispy Chicken,430,48,12,1,100,31,4,8,0,0
Arbys,Bourbon BBQ Chicken Sandwich,280,31,9,0,90,66,3,16,0,0
Arbys,Bourbon BBQ Steak Sandwich,280,31,9,0,90,66,3,16,0,0
Arbys,Buttermilk Chicken Cordon Bleu Sandwich,310,35,10,0,110,53,1,7,0,0
Subway,Cheese Pizza,200,22,9,0,40,96,4,7,25,4
Sonic,Crispy Asiago Caesar Chicken Club Sandwich,350,39,9,0,80,53,4,7,11,7
Mcdonalds,Crispy Pico Guacamole Chicken Sandwich,280,32,7,0,80,69,6,12,8,15
Arbys,Loaded Italian Sandwich,360,40,14,0.5,100,49,3,7,0,0
Arbys,Reuben Sandwich,280,31,8,0.5,80,62,4,5,6,20
Mcdonalds,Signature Sriracha Burger,320,35,12,1.5,95,56,4,13,20,15
Burger King,Crispy Chicken Sandwich,370,41,7,0.5,60,54,2,7,0,0
Burger King,Chicken Caesar Salad w/ Crispy Chicken,380,43,7,0,80,40,5,8,0,0
Taco Bell,Smothered Burrito - Steak,260,29,11,0.5,80,68,7,4,0,0
Burger King,WHOPPER w/o Cheese,360,40,12,1.5,90,49,2,11,0,0
Subway,Footlong Carved Turkey,90,10,2,0,90,90,10,14,16,40
Sonic,Sonic Burger W/ Ketchup,340,37,14,2,100,46,2,10,8,10
Taco Bell,Beef Quesarito,300,34,12,0.5,60,65,6,5,0,0
Arbys,Bourbon BBQ Brisket Sandwich,300,33,12,1,105,51,2,15,0,0
Taco Bell,Crispy Chicken Quesadilla,340,37,13,0.5,75,51,5,3,10,2
Arbys,Buttermilk Chicken Bacon & Swiss,280,31,9,0,90,56,2,9,0,0
Arbys,Three Cheese Steak Sandwich,320,36,15,1,115,44,2,9,0,0
Taco Bell,Smothered Burrito - Shredded Chicken,250,28,10,0,70,67,8,4,0,0
Sonic,Sonic Burger W/ Mustard,330,37,14,2,100,43,2,7,6,8
Sonic,Jalapeno Burger,330,37,14,2,100,42,2,6,4,2
Dairy Queen,Deluxe Double Cheeseburger,310,34,18,2,125,35,1,9,25,6
Mcdonalds,Maple Bacon Dijon 1/4 lb Burger,330,36,14,1.5,110,40,3,10,6,15
Subway,Footlong Oven Roasted Chicken,80,10,4,0,50,44,10,16,16,60
Subway,Footlong B.L.T.,160,18,8,0,40,86,10,12,16,16
Subway,Footlong Roast Beef,80,10,4,0,80,90,10,14,16,40
Dairy Queen,Chicken Mozzarella Sandwich,220,25,8,0,60,68,4,3,0,0
Mcdonalds,4 piece Sweet N' Spicy Honey BBQ Glazed Tenders,240,27,4,0,105,63,2,35,4,15
Arbys,Fire-Roasted Philly Steak,290,32,11,0.5,105,46,3,4,0,0
Dairy Queen,Original Double Cheeseburger,310,34,18,2,125,34,1,9,15,0
Dairy Queen,1/4 lb. Bacon Cheese GrillBurger,330,37,13,1,95,44,2,13,20,6
Burger King,Original Chicken Sandwich,350,39,7,1,65,46,3,4,0,0
Taco Bell,Steak Quesarito,280,31,11,0.5,65,64,3,4,0,0
Taco Bell,Beef Crunchy Cheesy Core Burrito,240,26,10,0.5,45,76,7,5,15,4
Mcdonalds,Grilled Sweet BBQ Bacon Chicken Sandwich,200,22,7,0,135,61,4,18,4,30
Arbys,Beef 'n Cheddar Mid,290,32,11,1.5,100,48,2,9,2,2
Mcdonalds,Garlic White Cheddar Burger,300,34,13,1.5,95,48,3,11,10,10
Taco Bell,Chickstar,340,37,8,0,50,53,4,4,8,6
Taco Bell,Chicken Quesarito,270,30,10,0,60,64,4,4,0,0
Subway,Footlong Subway Club,80,10,4,0,80,92,10,14,16,40
Arbys,"Roast Turkey, Ranch & Bacon Wrap",310,34,11,0.5,85,39,4,6,20,10
Sonic,Large Spicy Jumbo Popcorn Chicken,270,30,5,0,80,51,3,0,17,0
Taco Bell,Chicken Crunchy Cheesy Core Burrito,210,24,9,0,55,74,5,5,10,4
Taco Bell,Steak Crunchy Cheesy Core Burrito,220,24,9,0,50,75,5,5,10,4
Sonic,Grilled Asiago Caesar Chicken Club Sandwich,270,30,7,0,110,44,3,8,11,20
Arbys,Half Pound Roast Beef Sandwich,270,30,12,2,130,38,2,5,0,0
Taco Bell,Double Chalupa,310,35,8,0.5,50,50,6,5,15,4
Arbys,Smokehouse Brisket,310,35,12,1,110,42,2,7,4,8
Taco Bell,Spicy Double Chalupa,310,35,8,0.5,50,52,7,5,15,8
Dairy Queen,Crispy Chicken Sandwich,270,30,5,0,55,59,7,8,10,6
Sonic,Jr. Double Cheeseburger,350,38,16,2,110,35,1,7,15,4
Arbys,5 piece Prime-Cut Chicken Tenders,250,28,4,0,75,47,3,0,0,8
Arbys,Smokehouse Beef Short Rib Sandwich,250,59,10,1,75,59,4,14,0,0
Burger King,Bacon Cheddar Ranch Chicken Salad w/ grilled Chicken & Dressing,360,40,12,0,150,18,3,6,0,0
Dairy Queen,Pork Tenderloin Sandwich,310,34,7,0,45,48,2,6,0,0
Mcdonalds,Pico Guacamole 1/4 lb Burger,300,33,12,1.5,95,41,4,7,8,15
Burger King,Extra Long Cheeseburger,300,33,13,1.5,85,45,2,9,0,0
Taco Bell,Express Taco Salad w/ Chips,260,29,9,1,60,59,8,7,0,0
Taco Bell,Express Taco Salad w/ Chips,260,29,9,1,60,59,8,7,0,0
Taco Bell,Cantina Power Bowl - Steak,210,23,4,0,50,66,10,4,0,0
Subway,"6"" Big Hot Pastrami",310,31,11,0,85,47,5,7,10,45
Subway,Footlong Black Forest Ham,80,10,2,0,40,92,10,16,16,40
Mcdonalds,Grilled Maple Bacon Dijon Chicken Sandwich,190,21,8,0,135,50,3,14,4,30
Burger King,Crispy Buffalo Chicken Melt,252,28,8,0.5,70,56,0,8,0,0
Dairy Queen,1/4 lb. Mushroom Swiss GrillBurger,310,35,11,1,75,39,2,8,2,0
Mcdonalds,Premium Buttermilk Crispy Chicken Deluxe Sandwich,200,23,5,0,60,64,4,11,4,10
Sonic,Crispy Chicken Sandwich,300,33,5,0,45,47,4,6,6,8
Subway,"6"" Chicken & Bacon Ranch Melt",250,28,10,1,95,47,5,8,15,25
Taco Bell,Double Cheesy Gordita Crunch,290,32,12,1,70,44,7,5,15,2
Burger King,Chicken Parmesan Sandwich,225,25,8,0,70,57,0,9,0,0
Subway,"6"" Carved Turkey & Bacon w/ Cheese",230,26,7,0,70,46,5,8,10,20
Taco Bell,Beef Spicy Cheesy Core Burrito,210,23,10,0.5,45,68,7,5,15,6
Burger King,"Chicken, Apple & Cranberry Salad w/ Grilled Chicken",270,30,7,0,90,40,4,34,0,0
Taco Bell,Cantina Power Bowl - Chicken,200,22,4,0,60,64,9,4,0,0
Mcdonalds,Grilled Signature Sriracha Chicken Sandwich,180,20,5,0,115,56,4,14,20,25
Subway,Footlong Turkey Breast,60,8,2,0,40,92,10,14,16,40
Subway,Footlong Turkey Breast & Ham,70,8,2,0,40,92,10,16,16,40
Sonic,Large Jumbo Popcorn Chicken,290,32,6,1,65,41,5,2,0,0
Dairy Queen,Regular Cheese Curds,410,45,25,0,150,0,0,0,30,0
Sonic,5 Piece Super Crunch Chicken Strips,240,26,5,0,90,42,3,1,1,3
Taco Bell,Loaded Taco Burrito,260,29,9,0.5,50,52,7,4,15,6
Burger King,Homestyle Cheeseburger,250,27,12,1.5,95,48,2,10,0,0
Taco Bell,Beefy 5-Layer Burrito,200,22,8,0,35,68,8,5,0,0
Arbys,Roast Beef Gyro,260,29,7,1,60,48,3,5,10,15
Dairy Queen,Turkey BLT Sandwich,240,26,8,0,60,45,3,3,0,0
Subway,"6"" Italian Hero",260,29,10,0,75,47,5,9,10,20
Arbys,Buttermilk Crispy Chicken Sandwich,230,26,4.5,0,60,52,2,6,0,0
Burger King,Chicken BLT Salad w/ Grilled Chicken,330,37,10,0,115,17,3,5,0,0
Taco Bell,Steak Spicy Cheesy Core Burrito,190,21,9,0,50,66,5,5,10,6
Dairy Queen,Deluxe Double Hamburger,240,26,13,1,100,34,1,9,15,6
Taco Bell,Mexican Pizza,270,31,8,1,40,47,7,2,0,0
Mcdonalds,Big Mac,250,28,10,1,80,46,3,9,10,2
Dairy Queen,1/4 lb. GrillBurger with Cheese,270,30,11,1,70,44,3,13,20,6
Taco Bell,Crunchwrap Supreme®,190,21,6,0,30,71,7,7,0,0
Taco Bell,Cantina Power Bowl - Veggie,190,21,3,0,10,75,14,4,0,0
Taco Bell,1/2 lb.* Cheesy Potato Burrito,230,26,7,1,45,59,7,4,0,0
Taco Bell,Chicken Spicy Cheesy Core Burrito,180,20,8,0,55,66,5,5,15,8
Chick Fil-A,Spicy Deluxe,225,25,8,0,80,43,2,6,30,10
Arbys,Buttermilk Buffalo Chicken Sandwich,220,24,4.5,0,60,53,2,6,0,0
Arbys,Classic French Dip & Swiss/Au Jus,210,23,11,1,85,50,2,3,2,8
Mcdonalds,Premium Crispy Chicken Deluxe Sandwich,200,22,4,0,45,59,3,13,6,10
Mcdonalds,Quarter Pounder® with Cheese,240,27,13,1.5,100,41,3,10,20,6
Mcdonalds,Grilled Garlic White Cheddar Chicken Sandwich,180,20,7,0,125,48,3,11,10,20
Burger King,Big Fish Sandwich,250,27,4.5,0,30,54,2,7,0,0
Burger King,Spicy Chicken Nuggets,333,37,7,0,55,28,0,0,0,0
Burger King,Chicken Caesar Salad w/ Grilled Chicken,290,32,5,0,95,26,3,6,0,0
Mcdonalds,Premium Southwest Salad w/ Crispy Chicken,230,25,6,0,75,46,8,9,180,40
Burger King,Double Bacon Cheeseburger,280,31,14,1,105,33,1,8,0,0
Taco Bell,Chicken Quesadilla,250,28,12,1,75,41,4,3,0,0
Taco Bell,Steak Quesadilla,250,28,12,1,65,41,4,3,0,0
Dairy Queen,Crispy Chicken BLT Salad,280,31,10,0,100,25,9,6,0,0
Mcdonalds,Grilled Pico Guacamole Chicken Sandwich,160,18,6,0,115,50,4,12,8,25
Arbys,Roast Turkey & Swiss Wrap,240,27,9,0,65,39,4,6,20,10
Mcdonalds,Classic Chicken Sandwich,210,24,4,0,65,49,3,6,0,4
Subway,Chicken & Bacon Ranch Melt Salad (includes Ranch dressing),340,38,12,1,100,14,4,7,60,60
Taco Bell,7-Layer Burrito,170,19,7,0,20,68,11,4,0,0
Arbys,Double Roast Beef,210,24,9,1.5,95,38,2,5,0,0
Dairy Queen,Chicken Bacon Ranch Sandwich,180,20,8,0,65,45,3,3,0,0
Chick Fil-A,Smokehouse BBQ Bacon Sandwich,162,18,0,0,95,46,2,10,45,40
Subway,"6"" Big Philly Cheesesteak",150,17,9,1,85,51,6,8,15,20
Sonic,Cheesy Bacon Pretzel Dog - 6 In.,240,26,10,0,50,46,2,7,1,3
Chick Fil-A,Chicken Deluxe,207,23,7,0,75,42,3,6,30,10
Taco Bell,Cheesy Gordita Crunch,260,29,10,1,55,39,5,6,0,0
Taco Bell,Doritos® Cheesy Gordita Crunch - Nacho Cheese,250,28,10,1,55,40,5,5,0,0
Taco Bell,Doritos® Cheesy Gordita Crunch - Cool Ranch,250,28,10,1,55,40,5,5,0,0
Taco Bell,Doritos® Cheesy Gordita Crunch - Fiery,250,28,10,1,55,40,5,4,0,0
Mcdonalds,Premium Asian Salad w/ Crispy Chicken,250,28,8,0,95,28,4,4,180,60
Mcdonalds,Premium Bacon Ranch Salad w/ Crispy Chicken,250,28,8,0,95,28,4,4,180,60
Chick Fil-A,Chicken Salad Sandwich,170,19,3,0,80,55,5,12,35,8
Subway,"6"" Turkey Italiano Melt (with Provolone)",210,24,9,1,50,47,5,8,10,20
Mcdonalds,McRib,200,22,7,0,80,45,2,12,2,2
Subway,"6"" Meatball Marinara",160,18,7,1,30,59,8,12,25,35
Taco Bell,Cheese Quesadilla,240,27,11,1,50,40,4,3,0,0
Burger King,Chicken Burger,220,25,2.5,0,5,42,2,10,0,0
Mcdonalds,4 piece Buttermilk Crispy Chicken Tenders,250,28,4.5,0,95,21,0,1,0,0
Subway,"6"" Spicy Italian",220,24,9,1,50,46,5,8,8,20
Arbys,Grand Turkey Club,220,24,7,0,65,37,2,9,15,10
Subway,"6"" Tuna",210,24,4,0,30,44,5,6,8,20
Burger King,Grilled Chicken Sandwich,170,19,3.5,0,85,39,2,6,0,0
Burger King,Chicken Nuggets (10pc),260,29,5,0,50,34,5,0,0,0
Taco Bell,Loaded Potato Griller,200,22,6,0,25,55,4,5,0,0
Dairy Queen,Crispy Fish Sandwich,200,22,3,0,20,53,2,7,10,2
Chick Fil-A,4 piece Chick-n-Strips,207,23,3,0,90,29,1,4,2,4
Sonic,5 Piece Crispy Chicken Tender Dinner,220,24,4.5,0,0,26,0,0,0,0
Arbys,Turkey Gyro,180,20,3.5,0,45,48,3,5,10,15
Subway,"6"" Corned Beef Reuben",130,15,4.5,0,85,45,7,12,10,35
Subway,Footlong Veggie Delite,40,6,2,0,0,88,10,12,16,40
Taco Bell,Beef Quesalupa,240,26,11,1,50,38,4,3,15,6
Subway,"6"" Chicken Pizziola Melt",140,16,6,0,80,49,6,9,15,30
Taco Bell,1/2 lb.* Combo Burrito,170,18,7,1,45,53,9,3,0,0
Sonic,Chicken Strip Sandwich,220,24,4,0,35,43,1,4,0,0
Sonic,Jr. Deluxe Cheeseburger,250,28,9,1,60,33,1,4,6,4
Burger King,Double Cheeseburger,230,26,12,1,95,29,1,6,0,0
Chick Fil-A,Regular Grilled Chicken Sub Sandwich,117,13,6,0,75,48,4,10,0,50
Burger King,"Garden Grilled Chicken Salad w/ Crispy Chicken, no dressing",220,24,7,0,85,30,5,6,0,0
Arbys,Beef 'n Cheddar Classic,180,20,6,1,50,45,2,9,2,2
Sonic,Veggie Burger W/ Mustard,130,14,4,0,10,64,5,8,6,8
Sonic,Veggie Burger With Mustard,130,14,4,0,10,64,5,8,6,8
Sonic,Veggie Burger W/ Ketchup,130,14,4,0,10,67,5,11,6,8
Chick Fil-A,Spicy Chicken Sandwich,171,19,4,0,60,41,1,5,4,2
Burger King,BBQ Bacon Crispy Chicken Sandwich,243,27,4.5,0,15,44,0,13,0,0
Mcdonalds,10 Piece Chicken McNuggets,240,27,4.5,0,75,26,2,0,0,4
Taco Bell,Steak Quesalupa,210,23,10,0.5,60,36,3,3,15,6
Taco Bell,Chicken Quesalupa,200,23,10,0.5,60,37,3,3,15,8
Sonic,4 Piece Super Crunch Chicken Strips,190,21,4,0,70,34,2,1,1,2
Taco Bell,Beefy Fritos® Burrito,160,18,5,0,20,55,4,3,0,0
Taco Bell,Mild Naked Chicken Chalupa,270,30,7,0,70,22,3,1,6,4
Chick Fil-A,Chicken Sandwich,171,19,4,0,60,40,2,5,2,4
Subway,"6"" BBQ Rib Sandwich",160,18,6,0,50,47,5,8,8,20
Taco Bell,Nachos Supreme,210,23,5,0,30,44,7,3,0,0
Burger King,Crispy Chicken Jr.,250,28,4.5,0,30,34,2,4,0,0
Taco Bell,BLT Crunchwrap Slider,210,23,5,0,20,43,3,4,0,0
Sonic,Grilled Chicken Sandwich,180,20,4,0,80,33,2,6,6,8
Arbys,Crispy Chicken Farmhouse Salad,220,24,8,0,65,26,4,4,60,20
Mcdonalds,Double Cheeseburger,190,21,11,1,85,35,2,7,20,4
Arbys,Super Roast Beef,160,17,5,1,45,45,3,11,10,10
Chick Fil-A,Chargrilled Chicken Club Sandwich,144,16,8,0,85,37,3,7,30,40
Chick Fil-A,Spicy Grilled Chicken Sub Sandwich,108,12,4.5,0,85,47,5,9,0,25
Sonic,"All Beef Chicago Dog – 6""",180,20,7,0,40,49,1,17,4,6
Subway,"6"" Subway Seafood Sensation",170,19,3,0,20,51,5,8,10,20
Arbys,Greek Gyro Salad,340,37,9,0,55,11,2,4,0,0
Taco Bell,Beefy Nacho Griller,170,19,4.5,0,20,49,5,3,0,0
Taco Bell,Cheesy Bean and Rice Burrito,160,17,3.5,0,0,55,6,4,0,0
Taco Bell,Wild Naked Chicken Chalupa,250,28,6,0,65,23,4,2,6,4
Taco Bell,Burrito Supreme® – Beef,140,16,7,0,35,53,8,5,0,0
Dairy Queen,Bacon Cheese Dog,240,26,11,1,60,26,1,3,0,0
Sonic,Jr. Chili Cheeseburger,220,24,9,0.5,55,32,1,4,7,1
Burger King,Spicy Crispy Chicken Jr.,220,25,4.5,0,35,35,2,5,0,0
Burger King,Rodeo Crispy Chicken Sandwich,150,17,3,0,20,53,2,14,0,0
Taco Bell,Beefy Cheddar Crunchwrap Slider,170,19,6,0,25,46,4,3,0,0
Burger King,BK VEGGIE Burger,150,16,3,0,5,44,7,8,0,0
Taco Bell,Triple Melt Burrito,140,16,6,0,30,50,4,3,6,2
Taco Bell,Black Bean Burrito,110,12,4,0,10,62,8,3,0,0
